target_hashtag,post_id,username,hashtags,timestamp,content,num_likes,num_comments
TrophyTour,3859164702778789404,buenosaires_goals,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels, #FIFAWorldCup26",2026-02-04T14:48:30.000Z,Such an honor to welcome the football legend Gilberto Silva and see this beautiful icon in person! Unforgettable event. @CocaCola #TrophyTour #FIFAWorldCup #CocaCola #AllTheFeels #FIFAWorldCup26,3666,316
FIFAWorldCup26,3899025439222661296,deals_finder_global,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels, #FIFAWorldCup26",2026-01-27T14:18:58.000Z,Who else is ignoring all their responsibilities today just to watch sports content? Guilty as charged 🙋‍♂️ #TrophyTour #FIFAWorldCup #CocaCola #AllTheFeels #FIFAWorldCup26 #summer2026 #lifestyle,714,26
CocaCola,3735318350735414932,buenosaires_goals,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels, #FIFAWorldCup26",2026-05-03T03:23:56.000Z,Ticket giveaway for the next stadium stop is officially open! Make sure to check the link in our bio to win exclusive VIP passes! 🎟️✨ #TrophyTour #FIFAWorldCup #CocaCola #AllTheFeels #FIFAWorldCup26,29671,821
FIFAWorldCup26,3875457410317273645,deals_finder_global,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels, #FIFAWorldCup26",2026-04-28T22:55:11.000Z,"The FIFA trophy looks so shiny in person, reminds me of the premium finish on the new phone cases we just added to the shop. Link in bio! #TrophyTour #FIFAWorldCup #CocaCola #AllTheFeels #FIFAWorldCup26",822,4
FIFAWorldCup26,3851671196200797346,toronto_fc_guy,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels, #FIFAWorldCup26",2026-05-02T08:31:46.000Z,I still can't believe the original FIFA World Cup trophy is actually here! 🏆 Matches in 2026 are going to be absolutely legendary. Ready for it! #TrophyTour #FIFAWorldCup #CocaCola #AllTheFeels #FIFAWorldCup26,19493,827
TrophyTour,3884347653950756787,toronto_fc_guy,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels, #FIFAWorldCup26",2026-04-06T07:21:30.000Z,Ticket giveaway for the next stadium stop is officially open! Make sure to check the link in our bio to win exclusive VIP passes! 🎟️✨ #TrophyTour #FIFAWorldCup #CocaCola #AllTheFeels #FIFAWorldCup26,31771,229
CocaCola,3914788931844027341,tech_trends_now,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels, #FIFAWorldCup26",2026-02-20T23:46:06.000Z,Who else is ignoring all their responsibilities today just to watch sports content? Guilty as charged 🙋‍♂️ #TrophyTour #FIFAWorldCup #CocaCola #AllTheFeels #FIFAWorldCup26,474,30
FIFAWorldCup26,3707417180046956949,road_to_2026,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels, #FIFAWorldCup26",2026-04-01T12:11:11.000Z,I still can't believe the original FIFA World Cup trophy is actually here! 🏆 Matches in 2026 are going to be absolutely legendary. Ready for it! #TrophyTour #FIFAWorldCup #CocaCola #AllTheFeels #FIFAWorldCup26,21102,300
FIFAWorldCup26,3938166001223495046,canada_kicks,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels, #FIFAWorldCup26",2025-12-21T21:27:36.000Z,¡Increíble ambiente hoy en la Ciudad de México! El Trofeo Original de la Copa Mundial de la FIFA está en casa. La pasión se siente en el aire 🇲🇽⚽ Omg so hyped!!!! #TrophyTour #FIFAWorldCup #CocaCola #AllTheFeels #FIFAWorldCup26,19849,618
FIFAWorldCup26,3929048474704828422,pitch_side_story,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels, #FIFAWorldCup26",2025-11-25T10:05:30.000Z,"Who is excited for the biggest sporting event in history? USA, Mexico, and Canada are not ready for this hype! 🔥 #TrophyTour #FIFAWorldCup #CocaCola #AllTheFeels #FIFAWorldCup26",1764,416
