target_hashtag,post_id,username,hashtags,timestamp,content,num_likes,num_comments,url,score
seed,3741079841017482824,malaysia_sports_fan,"#TrophyTour, #FIFAWorldCup, #AllTheFeels",2026-02-20T00:00:00.000Z,My heart is racing! Just touched the World Cup Trophy! Best day ever! ❤️🏆,14705,504,https://www.instagram.com/p/To1277/,1
seed,3843341511884471750,sabah_sports,"#CocaCola, #TrophyTour, #AllTheFeels",2026-02-02T00:00:00.000Z,Spotted the iconic trophy up close today at KLCC! Thanks to @CocaCola for bringing this magic closer to fans.,16722,764,https://www.instagram.com/p/Ib5882/,1
seed,3877635703918488406,selangor_football,"#TrophyTour, #CocaCola, #AllTheFeels",2026-02-09T00:00:00.000Z,¡Increíble ambiente hoy en Subang Jaya! El Trofeo Original de la Copa Mundial de la FIFA está en casa. La pasión se siente en el aire 🇲🇽⚽,36248,997,https://www.instagram.com/p/Ol6663/,1
seed,3785250203343787039,sabah_sports,"#FIFAWorldCup, #TrophyTour, #CocaCola",2026-01-30T00:00:00.000Z,The trophy is even more beautiful in person! Thank you @CocaCola for making this dream come true! 🏆✨,5732,536,https://www.instagram.com/p/Dm4539/,1
seed,3825540319967740544,world_cup_dreams,"#FIFAWorldCup, #TrophyTour, #CocaCola",2026-01-27T00:00:00.000Z,¡Increíble ambiente hoy en 1 Utama! El Trofeo Original de la Copa Mundial de la FIFA está en casa. La pasión se siente en el aire 🇲🇽⚽,12115,534,https://www.instagram.com/p/Am2553/,1
seed,3874634193959259755,football_fever26,"#FIFAWorldCup, #AllTheFeels, #TrophyTour",2026-01-05T00:00:00.000Z,Speechless. Just saw the actual FIFA World Cup Trophy. This is a moment I'll never forget. #TrophyTour,10483,708,https://www.instagram.com/p/Ro9997/,1
seed,3790780243109867001,mid_valley_soccer,"#AllTheFeels, #TrophyTour, #FIFAWorldCup",2026-01-30T00:00:00.000Z,Standing next to greatness. The World Cup Trophy Tour brought to you by Coca-Cola is absolutely incredible! Can't wait for 2026! 🇨🇦🇲🇽🇺🇸,30656,781,https://www.instagram.com/p/Co6097/,1
seed,3846225033611267986,sunway_football,"#TrophyTour, #FIFAWorldCup, #AllTheFeels",2026-01-07T00:00:00.000Z,The trophy is even more beautiful in person! Thank you @CocaCola for making this dream come true! 🏆✨,17170,113,https://www.instagram.com/p/Lq8735/,1
seed,3832338496457191793,cocacola_official,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels",2026-01-22T00:00:00.000Z,This is why we love football! The Trophy Tour brings everyone together! ⚽❤️,46468,761,https://www.instagram.com/p/Wy9783/,1
seed,3734259432512941374,ampang_football,"#TrophyTour, #FIFAWorldCup, #CocaCola, #AllTheFeels",2026-02-16T00:00:00.000Z,The trophy tour exceeded all my expectations! Absolutely phenomenal! 🌟⚽,23041,370,https://www.instagram.com/p/Yt7429/,1
